timestamp,label,throughput_bps,goodput_bps,packet_rate_pps,packet_loss_rate,retransmission_rate,jitter_ms,inter_arrival_time_mean,packet_size_mean,packet_size_std,burstiness,rtt_mean,rtt_std,rtt_gradient,ce_count,ce_mark_rate,ect1_count,cwnd_growth_rate,rolling_mean_rtt,rolling_slope_rtt,l4s_queue_delay_ms,classic_queue_delay_ms
02:44:56,0,560.0,0.0,1.0,0,0.0,0.0,0.0,70.0,0.0,1.0,0,0,0,0,0.0,0,0,0.0,0,0,0
02:44:58,0,4629904.0,4229232.0,642.0,0,0.0,0.1329982419843343,0.00019685749702632148,901.4610591900312,709.8956216620531,1.9997581235919337,0.25350541886792444,2.5278790118159264,0.25350541886792444,33,33.0,609,0,0.12675270943396222,0,0,0
02:44:59,0,25308528.0,23228736.0,3333.0,0,0.0,0.10154510838900181,0.00017966750432320145,949.1647164716471,701.47314248527,2.536010029997002,0.10378440274599542,0.019332548137294684,-0.149721016121929,0,0.0,3333,0,0.11909660720463995,0,0,0
02:45:00,0,34168400.0,31419680.0,4405.0,0,0.0,0.07123290013721578,0.0001377251665771928,969.5913734392735,696.6993864411442,2.1319475919407234,0.109568548502994,0.044198987856509366,0.005784145756998579,0,0.0,4405,0,0.11671459252922847,0.017898462938705305,0,0
02:45:01,0,24188784.0,22263744.0,3085.0,0,0.0,0.06222529705818471,0.00011595585002973385,980.0965964343598,693.9974374457621,1.3697526379851377,0.10379092763731473,0.05361564866355502,-0.005777620865679262,0,0.0,3085,0,0.11412985955084572,0.006364498490969902,0,0
02:45:02,0,32483760.0,29914752.0,4117.0,0,0.0,0.054843099784420965,0.00010277561126575526,986.2691280058295,692.3305994450204,1.6136998118627917,0.09891491936549901,0.042097229072780885,-0.004876008271815724,0,0.0,4117,0,0.11159403618662127,0.0014632933969332673,0,0
02:45:04,0,38629952.0,35589824.0,4872.0,0,0.0,0.08159426088926021,9.491707455864727e-05,991.1215106732349,690.9787233139633,1.6963167554574783,0.12021519842164602,0.11639725171131449,0.02130027905614701,0,0.0,4872,0,0.11282563079162479,0.0018382543268359527,0,0
02:45:05,0,42858848.0,39484256.0,5408.0,0,0.0,0.12116208164682571,9.802905958065247e-05,990.6353550295858,691.1158213877809,1.6951249648388567,0.15840001166920348,0.156937720834217,0.03818481324755746,1,1.0,5407,0,0.11852242840132213,0.005023367957688843,0,0
02:45:06,0,39398624.0,36313568.0,4944.0,0,0.0,0.09994386225742437,8.434678243042462e-05,996.1221682847896,689.5470381061718,1.4672548911859673,0.13198344531688166,0.13695667367544162,-0.026416566352321813,0,0.0,4944,0,0.12001809694749542,0.00441375869808618,0,0
02:45:07,0,39771200.0,36623744.0,5044.0,0,0.0,0.21753529828791665,0.00010858394313421179,985.6066613798572,692.5123204394158,1.4131396920166164,0.12011253017241379,0.08828443101997453,-0.011870915144467878,81,81.0,4963,0,0.12002754026998726,0.003215157229058223,0,0
02:45:08,0,41204528.0,37967840.0,5187.0,0,0.0,0.14406682344954883,9.137739144004177e-05,992.9759012916908,690.4523838110244,1.2770953741101359,0.13675923857598302,0.1008284056581278,0.01664670840356923,21,21.0,5166,0,0.13370346412758555,-0.003874040699522988,0,0
02:45:09,0,39038384.0,35968928.0,4919.0,0,0.0,0.16691409178759142,9.591936240985462e-05,992.0304940028461,690.7213949350346,1.0933559386562495,0.12975804977628635,0.10911448412959303,-0.0070011887996966615,28,28.0,4891,0,0.12132872721842176,0.0038975518640045003,0,0
02:45:10,0,47289152.0,43551008.0,5992.0,0,0.0,0.2217386659093158,0.00010502591114811459,986.506008010681,692.2845398698495,1.2476307518312877,0.14192173873463815,0.2732245700403318,0.012163688958351793,51,51.0,5937,0,0.12514246081728603,0.003851185406121214,0,0
02:45:11,0,44914480.0,41368288.0,5683.0,0,0.0,0.18834549891126606,0.00010076890063932017,987.9130740805913,691.8767028863867,1.152310114642984,0.11476132660902978,0.10733164374935958,-0.027160412125608366,38,38.0,5645,0,0.1256617386278896,0.0022466809010817084,0,0
02:45:12,0,31784272.0,29271424.0,4027.0,0,0.0,0.18632375350085015,9.961543957273935e-05,986.5989570399802,692.2398699694144,0.7998594771866849,0.11171458958755916,0.11466957233588303,-0.0030467370214706246,53,53.0,3974,0,0.12645410482291403,2.787325102536496e-05,0,0
02:45:13,0,18242144.0,16806944.0,2300.0,0,0.0,0.1723331693267187,9.70088797789545e-05,991.4208695652173,690.8941190503609,0.47613260722457174,0.11884373835125447,0.11157158821843431,0.007129148763695317,20,20.0,2280,0,0.12844698672148958,-0.002223183344589797,0,0
02:45:14,0,38306928.0,35291136.0,4833.0,0,0.0,0.1658924779062469,9.584150566960013e-05,990.7647423960273,691.079369623641,1.0006810714995507,0.11610619023282226,0.10937740810444012,-0.002737548118432215,34,34.0,4799,0,0.1280360859026072,-0.0034451035851733457,0,0
02:45:15,0,41524800.0,38255040.0,5240.0,0,0.0,0.17155221052623534,9.65243010239693e-05,990.5725190839695,691.1335144654167,1.088534061746175,0.10893582722513089,0.0814497516625855,-0.007170363007691374,38,38.0,5202,0,0.12308966745819994,-0.0024626741588989697,0,0
02:45:16,0,46620256.0,42953632.0,5876.0,0,0.0,0.1643164510791577,9.49016733372465e-05,991.7515316541865,690.8005051062428,1.1994010416527312,0.11424327515208235,0.08946821176192447,0.005307447926951467,46,46.0,5830,0,0.12131565044172002,-0.002352286124411455,0,0
